video_id,title,description,published_at,views,likes,comments,url,timestamp,like_rate,comment_rate,engagement_rate,category
uMZg_yD9fiQ,Ja 3 | Make Them Watch | Nike,"Make them watch 👀🍿
The Ja 3. Arriving 8.5.

Subscribe to our channel! http://youtube.com/nike

Nike strives to bring innovation and inspiration to every athlete* in the world. (* If you have a body, you are an athlete.)

Our mission is what drives us to do everything possible to expand human potential. We do that by creating groundbreaking sport innovations, by making our products more sustainably, by building a creative and diverse global team and by making a positive impact in communities where we live and work.

Shop Nike https://go.nike.com/Shop-Nike  
Download Nike App https://go.nike.com/Nike-App
Download SNKRS App https://go.nike.com/SNKRS-App
Download Nike Training Club App https://go.nike.com/NTC-App
Download Nike Run Club App https://go.nike.com/NRC-App
Follow Nike on Instagram http://instagram.com/nike
Follow Nike on Twitter http://twitter.com/nike
Follow Nike on Facebook http://facebook.com/nike",2025-08-05T14:09:11Z,3811,143,5,https://www.youtube.com/watch?v=uMZg_yD9fiQ,,0.03752295985305694,0.0013119916032537393,0.038834951456310676,"{'sequence': 'Ja 3 | Make Them Watch | Nike Make them watch 👀🍿\nThe Ja 3. Arriving 8.5.\n\nSubscribe to our channel! http://youtube.com/nike\n\nNike strives to bring innovation and inspiration to every athlete* in the world. (* If you have a body, you are an athlete.)\n\nOur mission is what drives us to do everything possible to expand human potential. We do that by creating groundbreaking sport innovations, by making our products more sustainably, by building a creative and diverse global team and by making a positive impact in communities where we live and work.\n\nShop Nike https://go.nike.com/Shop-Nike  \nDownload Nike App https://go.nike.com/Nike-App\nDownload SNKRS App https://go.nike.com/SNKRS-App\nDownload Nike Training Club App https://go.nike.com/NTC-App\nDownload Nike Run Club App https://go.nike.com/NRC-App\nFollow Nike on Instagram http://instagram.com/nike\nFollow Nike on Twitter http://twitter.com/nike\nFollow Nike on Facebook http://facebook.com/nike', 'labels': ['Product Spotlight', 'Athlete Feature', 'Lifestyle and Culture', 'Training and Fitness Tips'], 'scores': [0.4202594757080078, 0.38061749935150146, 0.14440006017684937, 0.05472300574183464]}"
liXxlxqRpus,24/8 Challenge: Visualize Your Next Win with Arike Ogunbowale,Focus your mind with Arike’s 24/8 Challenge and sign up for more by following the Kobe interest on the Nike app.,2025-08-04T16:00:05Z,2121,77,2,https://www.youtube.com/watch?v=liXxlxqRpus,,0.036303630363036306,0.000942951438000943,0.037246581801037244,"{'sequence': '24/8 Challenge: Visualize Your Next Win with Arike Ogunbowale Focus your mind with Arike’s 24/8 Challenge and sign up for more by following the Kobe interest on the Nike app.', 'labels': ['Athlete Feature', 'Lifestyle and Culture', 'Training and Fitness Tips', 'Product Spotlight'], 'scores': [0.6589269638061523, 0.12014352530241013, 0.11179812997579575, 0.10913139581680298]}"
9dYyLqEdIqE,"For Cole Hocker and Cooper Teare, training in the Structure is a way of life. #NikeRunning",,2025-08-01T22:37:04Z,3556,99,4,https://www.youtube.com/watch?v=9dYyLqEdIqE,,0.02784026996625422,0.0011248593925759281,0.028965129358830145,"{'sequence': 'For Cole Hocker and Cooper Teare, training in the Structure is a way of life. #NikeRunning ', 'labels': ['Athlete Feature', 'Lifestyle and Culture', 'Product Spotlight', 'Training and Fitness Tips'], 'scores': [0.6039493680000305, 0.20346270501613617, 0.11476412415504456, 0.07782375812530518]}"
fI9PtmG1_Qs,Cole Hocker and Cooper Teare train to be the best in the Structure 26. #NikeRunning,,2025-07-31T16:00:22Z,3822,122,4,https://www.youtube.com/watch?v=fI9PtmG1_Qs,,0.03192046049188906,0.0010465724751439038,0.03296703296703297,"{'sequence': 'Cole Hocker and Cooper Teare train to be the best in the Structure 26. #NikeRunning ', 'labels': ['Athlete Feature', 'Product Spotlight', 'Training and Fitness Tips', 'Lifestyle and Culture'], 'scores': [0.7576600313186646, 0.11982300877571106, 0.09299123287200928, 0.029525671154260635]}"
e-dTyTuSUiw,"Run Supported | Cole Hocker, Cooper Teare, and the Structure 26 | Nike","These two elite runners train in a shoe that’s been around for decades, but most people have slept on.

This is the story of a special partnership between 1500m gold medalist Cole Hocker and two-time U.S champion Cooper Teare, and how they came to be believers in the supportive benefits of the Nike Structure.

https://www.instagram.com/colehocker/
https://www.instagram.com/cooperteare/
https://www.instagram.com/teamsova/",2025-07-30T21:26:46Z,30237,761,50,https://www.youtube.com/watch?v=e-dTyTuSUiw,,0.025167840724939643,0.0016536032013757978,0.02682144392631544,"{'sequence': 'Run Supported | Cole Hocker, Cooper Teare, and the Structure 26 | Nike These two elite runners train in a shoe that’s been around for decades, but most people have slept on.\n\nThis is the story of a special partnership between 1500m gold medalist Cole Hocker and two-time U.S champion Cooper Teare, and how they came to be believers in the supportive benefits of the Nike Structure.\n\nhttps://www.instagram.com/colehocker/\nhttps://www.instagram.com/cooperteare/\nhttps://www.instagram.com/teamsova/', 'labels': ['Athlete Feature', 'Product Spotlight', 'Lifestyle and Culture', 'Training and Fitness Tips'], 'scores': [0.6651585698127747, 0.21609976887702942, 0.07330165058374405, 0.045440029352903366]}"
Z5x5zwn3DKE,24/8 Challenge: Handle Business like Arike Ogunbowale,Owning the game begins with a nasty dribble. Lock in with Arike’s 24/8 Challenge by following the Kobe interest on the Nike app.,2025-07-28T16:00:32Z,4386,99,3,https://www.youtube.com/watch?v=Z5x5zwn3DKE,,0.022571819425444596,0.0006839945280437756,0.023255813953488372,"{'sequence': '24/8 Challenge: Handle Business like Arike Ogunbowale Owning the game begins with a nasty dribble. Lock in with Arike’s 24/8 Challenge by following the Kobe interest on the Nike app.', 'labels': ['Athlete Feature', 'Product Spotlight', 'Lifestyle and Culture', 'Training and Fitness Tips'], 'scores': [0.7019256353378296, 0.1479147970676422, 0.079856738448143, 0.07030288875102997]}"
MTekZeqzB5A,24/8 Challenge: The Game-Winner With Arike Ogunbowale,Nattys are won because of the work you put in - something Arike Ogunbowale knows a thing or two about. See how clutch you are with her 24/8 Challenge in the Nike app.,2025-07-21T16:00:43Z,5497,126,7,https://www.youtube.com/watch?v=MTekZeqzB5A,,0.022921593596507184,0.0012734218664726214,0.024195015462979808,"{'sequence': '24/8 Challenge: The Game-Winner With Arike Ogunbowale Nattys are won because of the work you put in - something Arike Ogunbowale knows a thing or two about. See how clutch you are with her 24/8 Challenge in the Nike app.', 'labels': ['Athlete Feature', 'Product Spotlight', 'Training and Fitness Tips', 'Lifestyle and Culture'], 'scores': [0.706553041934967, 0.1573723703622818, 0.07233846187591553, 0.06373608857393265]}"
k9t6rfoR-z0,24/8 Challenge: Commit to Greatness with Arike Ogunbowale,"Greatness doesn’t take practice, it takes everything. Commit to Arike’s 24/8 Challenge for the next four weeks by downloading the Nike app and following the Kobe interest.",2025-07-14T16:02:32Z,4618,117,11,https://www.youtube.com/watch?v=k9t6rfoR-z0,,0.02533564313555652,0.0023819835426591596,0.027717626678215677,"{'sequence': '24/8 Challenge: Commit to Greatness with Arike Ogunbowale Greatness doesn’t take practice, it takes everything. Commit to Arike’s 24/8 Challenge for the next four weeks by downloading the Nike app and following the Kobe interest.', 'labels': ['Athlete Feature', 'Product Spotlight', 'Lifestyle and Culture', 'Training and Fitness Tips'], 'scores': [0.6526859402656555, 0.13272611796855927, 0.10844825208187103, 0.1061396449804306]}"
OYAtKHrt6YA,A Brief History of the Mars Yard | Nike,"""The values of NikeCraft haven’t changed at all, but they have been refined over the past 20 years,” says Sachs. “From the very beginning, I viewed NikeCraft as an art project: a place where the values of my studio could reach a larger audience through the sculpture known as the shoe. These two decades are a reminder that art is in everything — and is showcased through the Mars Yard in the ultimate art gallery of street fashion.

Stay tuned for more.",2025-07-07T14:00:22Z,159099,4978,189,https://www.youtube.com/watch?v=OYAtKHrt6YA,,0.031288694460681714,0.0011879395847868308,0.03247663404546854,"{'sequence': 'A Brief History of the Mars Yard | Nike ""The values of NikeCraft haven’t changed at all, but they have been refined over the past 20 years,” says Sachs. “From the very beginning, I viewed NikeCraft as an art project: a place where the values of my studio could reach a larger audience through the sculpture known as the shoe. These two decades are a reminder that art is in everything — and is showcased through the Mars Yard in the ultimate art gallery of street fashion.\n\nStay tuned for more.', 'labels': ['Athlete Feature', 'Product Spotlight', 'Lifestyle and Culture', 'Training and Fitness Tips'], 'scores': [0.46335485577583313, 0.2718774974346161, 0.1929788887500763, 0.07178878784179688]}"
Z47lfPMCM_E,Caitlin Clark laces her new Kobe 5 ProTro PE and steps into a new dimension.,,2025-06-29T16:04:03Z,34281,1603,105,https://www.youtube.com/watch?v=Z47lfPMCM_E,,0.04676059624865086,0.003062921151658353,0.04982351740030921,"{'sequence': 'Caitlin Clark laces her new Kobe 5 ProTro PE and steps into a new dimension. ', 'labels': ['Product Spotlight', 'Athlete Feature', 'Training and Fitness Tips', 'Lifestyle and Culture'], 'scores': [0.43141791224479675, 0.3494953215122223, 0.14722709357738495, 0.07185965776443481]}"
